asset,strategy,venue,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,calmar_ratio,win_rate,profit_factor,turnover
BTC-USD,buy_and_hold,no_costs,4.216685557970271,0.21833798874043486,0.6217386245540643,0.6320578225111242,-0.7663456370856907,0.2849079816918445,0.5083524402227317,1.104008125712029,0.0003274394237066143
BTC-USD,donchian_breakout,no_costs,10.016066624344418,0.33222936359394284,0.3513541806473254,0.9905982188043908,-0.3798183450197602,0.874705942854494,0.5195424213536701,1.2911407823694094,0.01768172888015717
BTC-USD,ml_logreg,no_costs,4.511716858813571,0.22637760631364778,0.2370857597271545,0.9780446423154212,-0.3367083331519741,0.6723255233824929,0.5764331210191083,1.5891357023582868,0.13686967910936476
BTC-USD,buy_and_hold,binance_like,4.210523467592028,0.218165844223986,0.621735344160566,0.6318304829034607,-0.7663456370856907,0.28468335130560846,0.5083524402227317,1.1039701673302744,0.0003274394237066143
BTC-USD,donchian_breakout,binance_like,9.324983511854532,0.32195013439924436,0.3513612628573287,0.9685365583609883,-0.38352537661284924,0.8394493664085175,0.5055762081784386,1.2832808317503286,0.01768172888015717
BTC-USD,ml_logreg,binance_like,2.3406273711598335,0.15511711301859865,0.2366077946329432,0.7266520441021206,-0.38386094880916666,0.4040971437699276,0.3384321223709369,1.3940257802354357,0.13686967910936476
BTC-USD,buy_and_hold,high_cost,4.202307347087684,0.21793603916519455,0.6217314008708584,0.6315269223425172,-0.7663456370856908,0.2843834800103723,0.5083524402227317,1.1039195561546014,0.0003274394237066143
BTC-USD,donchian_breakout,high_cost,8.469357303790074,0.3083488148616209,0.35141113239689276,0.9390143572074092,-0.3884404888608145,0.7938122407525546,0.5055762081784386,1.2729039744592658,0.01768172888015717
BTC-USD,ml_logreg,high_cost,0.7118937343750997,0.06638299471378928,0.23637810749292856,0.3892054386779715,-0.48506903839221516,0.13685267345411065,0.33078393881453155,1.1861941761621193,0.13686967910936476
ETH-USD,buy_and_hold,no_costs,0.6629326000479552,0.06268993205824747,0.8237048608426447,0.4910901726366998,-0.9106775894053679,0.06883877761742355,0.5067147068457255,1.0781169348013258,0.0003274394237066143
ETH-USD,donchian_breakout,no_costs,11.273616252090989,0.34955816587215915,0.45617338911551647,0.8853687693238305,-0.4939822250395135,0.7076330850653545,0.5269461077844312,1.2627019205108658,0.01768172888015717
ETH-USD,ml_logreg,no_costs,8.471095800811769,0.3083775298043838,0.33173894282533084,0.9720150388445087,-0.40057788075006706,0.7698316472865613,0.5852090032154341,1.5768094416982807,0.15782580222658807
ETH-USD,buy_and_hold,binance_like,0.6608290019926932,0.06252912588632187,0.823714106861927,0.4909105483039897,-0.9107905816271892,0.0686536808215664,0.5067147068457255,1.0780870760776833,0.0003274394237066143
ETH-USD,donchian_breakout,binance_like,10.502049469300445,0.3391230672659338,0.45620790014391094,0.8683257671447937,-0.4994206046585744,0.6790329916359238,0.5121477162293488,1.256655520458072,0.01768172888015717
ETH-USD,ml_logreg,binance_like,4.313235145243663,0.22101208791270777,0.33150313789065505,0.7641784075809069,-0.4310607886986263,0.5127167529664293,0.3188405797101449,1.4157248087540155,0.15782580222658807
ETH-USD,buy_and_hold,high_cost,0.6580242045856621,0.062314438476032574,0.8237267597302373,0.4906708619667032,-0.910941237922951,0.0684066500470618,0.5067147068457255,1.0780472670187828,0.0003274394237066143
ETH-USD,donchian_breakout,high_cost,9.546927165647148,0.3253157171832053,0.4562850450545892,0.8455480831238011,-0.5065909415383333,0.6421664710295435,0.5121477162293488,1.2486406505541505,0.01768172888015717
ETH-USD,ml_logreg,high_cost,1.4556576418983989,0.11338747846337416,0.3315165448805864,0.48612135354836283,-0.4786085504342469,0.23691068277091254,0.3134057971014493,1.2378218994761263,0.15782580222658807
SPY,buy_and_hold,no_costs,1.6916092729987433,0.1894608746297486,0.2317888403770928,0.8645070537317091,-0.34104746893243953,0.5555264058191273,0.5517075517075517,1.147163153163703,0.0004798464491362764
SPY,donchian_breakout,no_costs,0.3366574719806481,0.052161145519882934,0.10794581350111658,0.5250589459672669,-0.19435338509125144,0.2683830049854424,0.5554537121906508,1.110524894190124,0.02495201535508637
SPY,ml_logreg,no_costs,0.1458396497849297,0.02414194948932491,0.14947113451146973,0.23429571548723216,-0.2873809135491966,0.08400679499263984,0.5127272727272727,1.1132858440497393,0.11900191938579655
SPY,buy_and_hold,binance_like,1.6883758184532844,0.18921036538660174,0.23179087097899218,0.8635927458752698,-0.3410474689324394,0.5547918768577162,0.5517075517075517,1.1469861126845906,0.0004798464491362764
SPY,donchian_breakout,binance_like,0.25585001771271854,0.04072664161652395,0.10789198083556024,0.42402532587360897,-0.2083271275202564,0.1954937031067351,0.5402504472271914,1.0878648276736802,0.02495201535508637
SPY,ml_logreg,binance_like,-0.14919085571196333,-0.027914141512688007,0.1495536793247141,-0.11435622555826723,-0.2907795683622436,-0.09599760282302053,0.3408521303258145,0.9509817643294786,0.11900191938579655
SPY,buy_and_hold,high_cost,1.6840645457260193,0.18887596621335168,0.23179527096535701,0.8623673967927827,-0.3410474689324394,0.5538113706123633,0.5517075517075517,1.146750143698194,0.0004798464491362764
SPY,donchian_breakout,high_cost,0.15551975348941927,0.025652766996659082,0.10800458285480606,0.2886632635532635,-0.2283717841965246,0.1123289686898609,0.535778175313059,1.0585751699183592,0.02495201535508637
SPY,ml_logreg,high_cost,-0.42825628219202916,-0.09331824141718181,0.15023558507401139,-0.5764247875399757,-0.480232751117021,-0.19431877813440182,0.3233082706766917,0.7853692297958724,0.11900191938579655
